Region,Product,Sales,Units,Month,Year
Midwest,Webcam,2796,23,March,2022
Northeast,Keyboard,9705,109,January,2024
Northeast,Keyboard,2615,23,May,2024
South,Speaker,8008,39,May,2023
Southeast,Laptop,31671,39,December,2022
East,Mouse,1525,40,February,2023
Southeast,Mouse,3163,77,June,2023
South,Laptop,69614,87,December,2023
North,Mouse,717,16,March,2022
Northeast,Headphones,13716,91,April,2024
Northwest,Phone,8138,16,April,2023
West,Tablet,16651,54,January,2023
East,Printer,21892,70,June,2022
West,Phone,53842,107,May,2022
East,Printer,25492,84,February,2023
Southwest,Monitor,22650,87,January,2024
West,Webcam,4404,42,March,2023
Central,Tablet,24679,80,March,2024
Southwest,Tablet,21684,71,August,2022
North,Speaker,18711,92,May,2023
Midwest,Speaker,9344,44,August,2024
Southeast,Printer,25787,84,June,2022
East,Webcam,5383,58,April,2023
East,Tablet,29914,97,October,2024
North,Printer,26483,88,November,2023
Northwest,Headphones,12356,81,November,2023
Midwest,Phone,36922,72,December,2024
South,Phone,10027,20,July,2022
Northeast,Speaker,17995,89,April,2022
South,Headphones,14465,93,September,2024
Central,Keyboard,9103,105,April,2024
South,Mouse,1870,47,March,2024
Southwest,Keyboard,5730,71,March,2022
Northeast,Keyboard,6191,69,December,2022
Southwest,Speaker,20868,102,February,2022
North,Speaker,20658,100,December,2024
South,Phone,33043,66,May,2023
West,Headphones,5090,31,June,2023
Northwest,Headphones,16852,106,July,2022
Central,Laptop,31822,39,June,2024
East,Tablet,13480,44,August,2022
Southeast,Speaker,20363,97,January,2023
Southwest,Keyboard,7888,93,August,2023
Southeast,Phone,25477,49,September,2024
Northwest,Webcam,5224,54,February,2023
Southwest,Printer,28943,96,March,2023
Central,Phone,28924,56,October,2022
Midwest,Mouse,3671,105,November,2024
Northeast,Mouse,3277,79,November,2024
West,Webcam,1864,18,July,2023
West,Speaker,6850,30,April,2024
Central,Tablet,32538,108,November,2023
West,Tablet,6688,20,November,2022
North,Speaker,3971,16,March,2023
East,Phone,54911,108,February,2023
West,Webcam,3985,36,August,2022
South,Webcam,8464,91,June,2024
Southeast,Headphones,7584,44,January,2023
West,Laptop,73100,91,April,2023
Southeast,Tablet,9212,30,August,2022
East,Mouse,2850,85,September,2023
Northwest,Webcam,1711,17,April,2022
Northwest,Laptop,48051,60,December,2022
South,Keyboard,7729,90,April,2023
East,Phone,38865,77,January,2022
Northeast,Tablet,14485,47,March,2022
Northwest,Phone,12433,23,March,2022
Central,Keyboard,8147,95,January,2024
Central,Printer,17295,55,April,2022
East,Monitor,14604,55,December,2023
Southwest,Mouse,1914,55,July,2024
Midwest,Keyboard,1801,13,September,2023
Northeast,Speaker,6894,31,December,2024
Northwest,Headphones,4680,31,June,2024
South,Phone,38093,75,October,2022
South,Printer,31960,104,January,2022
Central,Mouse,1019,19,January,2022
Central,Tablet,19069,61,August,2022
Southeast,Keyboard,7281,86,June,2024
Central,Phone,17129,33,July,2024
Southwest,Webcam,8196,82,October,2023
Northeast,Tablet,15426,49,September,2022
Central,Mouse,1575,32,November,2022
Central,Mouse,503,10,July,2023
Northwest,Laptop,65014,81,October,2023
East,Mouse,2839,69,August,2024
Southeast,Laptop,12155,15,July,2023
Northwest,Phone,27729,55,December,2022
South,Speaker,15773,78,April,2024
East,Mouse,3543,92,September,2024
South,Keyboard,5095,55,September,2022
Southwest,Printer,23653,76,July,2023
North,Laptop,27211,33,September,2024
Central,Speaker,14306,69,May,2023
Southeast,Tablet,10237,32,February,2022
Northeast,Mouse,2356,68,September,2023
South,Mouse,3327,85,September,2024
Southeast,Printer,11552,38,January,2022
Central,Monitor,6376,22,February,2022
West,Printer,30066,97,June,2023
Southwest,Phone,5783,10,January,2022
Northwest,Laptop,41383,51,September,2023
Northeast,Keyboard,8421,94,March,2022
South,Speaker,21535,106,November,2022
Northeast,Keyboard,2678,28,December,2023
West,Printer,10037,32,April,2022
West,Laptop,57035,71,April,2024
West,Keyboard,1302,15,November,2023
Midwest,Keyboard,7995,91,July,2022
Southeast,Laptop,42623,53,August,2024
Northeast,Printer,33245,109,January,2022
West,Speaker,15288,75,October,2022
Northeast,Laptop,77301,96,March,2022
Southeast,Mouse,1621,46,August,2022
Southwest,Phone,32855,65,September,2024
Central,Headphones,6682,38,December,2024
Southwest,Phone,31839,63,January,2024
Southeast,Keyboard,6905,83,April,2022
Northeast,Monitor,19872,79,April,2024
West,Printer,27238,88,April,2022
West,Webcam,4704,46,April,2024
East,Phone,18808,36,February,2024
North,Speaker,5840,25,October,2023
South,Phone,7170,14,April,2022
Northwest,Phone,16100,32,November,2024
Southwest,Laptop,20883,25,December,2022
East,Mouse,1103,15,March,2024
West,Webcam,9404,99,April,2023
Northwest,Phone,8719,16,July,2024
South,Phone,7885,14,April,2022
East,Speaker,21177,102,August,2022
West,Headphones,5527,33,March,2024
Southwest,Webcam,5669,53,November,2022
Southwest,Headphones,14429,93,February,2023
Southeast,Speaker,2364,11,October,2022
Northeast,Headphones,11220,74,December,2022
East,Laptop,13025,16,May,2023
Midwest,Mouse,2960,68,October,2024
Midwest,Keyboard,9461,106,October,2022
Southeast,Printer,20994,67,April,2024
West,Speaker,5647,25,June,2023
Central,Printer,10245,31,April,2023
South,Mouse,1437,45,June,2022
Central,Mouse,1537,22,April,2022
North,Headphones,16735,108,December,2024
West,Mouse,2985,99,March,2023
Northwest,Printer,10242,34,February,2022
North,Laptop,28135,34,June,2023
Central,Monitor,22034,88,April,2022
Northeast,Headphones,16004,103,October,2022
Midwest,Tablet,3843,12,September,2024
Northwest,Phone,10350,20,October,2024
East,Mouse,569,15,August,2022
Midwest,Laptop,52283,65,March,2024
West,Speaker,21986,109,September,2024
East,Webcam,6151,59,February,2023
Northeast,Tablet,29727,98,February,2023
Midwest,Printer,11117,35,November,2023
Northwest,Mouse,3683,105,April,2024
North,Mouse,2010,60,October,2024
Midwest,Webcam,6200,60,May,2022
West,Phone,31616,62,July,2022
Central,Speaker,7709,36,April,2024
South,Headphones,12012,76,November,2023
West,Monitor,3248,11,April,2022
North,Mouse,2800,68,February,2024
Central,Laptop,27378,34,August,2022
Northwest,Phone,23670,47,June,2023
Northeast,Tablet,10395,34,May,2022
Southeast,Phone,20088,40,May,2023
Northeast,Webcam,1681,17,May,2023
Northeast,Speaker,22715,109,September,2024
North,Monitor,27678,107,June,2024
Southeast,Tablet,24672,80,February,2024
Midwest,Headphones,7416,44,March,2024
Southeast,Monitor,20844,81,September,2024
Southeast,Tablet,17798,56,December,2023
Northwest,Webcam,9661,106,July,2023
Southwest,Printer,24849,80,June,2022
Northeast,Tablet,7930,25,December,2022
East,Printer,26135,87,August,2023
Northeast,Speaker,20416,100,November,2023
East,Phone,30605,61,February,2023
Northeast,Headphones,7863,51,August,2024
Southwest,Webcam,5510,54,August,2023
South,Webcam,7292,75,May,2022
South,Monitor,26918,104,May,2024
South,Headphones,10723,66,October,2023
Northeast,Phone,49790,98,June,2022
Southwest,Keyboard,9365,109,January,2024
East,Speaker,12548,62,June,2022
East,Monitor,12514,47,September,2024
Southeast,Keyboard,4404,51,December,2024
Northeast,Webcam,4769,42,January,2023
Northwest,Printer,24684,81,March,2024
East,Keyboard,9212,104,October,2022
Central,Phone,50883,100,October,2024
West,Webcam,7154,79,September,2022
Midwest,Phone,37168,74,June,2023
West,Keyboard,2866,29,June,2023
North,Monitor,13186,51,August,2023
Northeast,Webcam,4443,47,September,2024
Midwest,Keyboard,4315,52,March,2024
Southwest,Webcam,5704,63,July,2023
Southeast,Laptop,61823,77,December,2022
Midwest,Monitor,23354,92,November,2022
Central,Webcam,6898,71,December,2023
North,Mouse,1345,14,January,2024
East,Mouse,1372,33,December,2023
Central,Webcam,6415,64,November,2024
North,Printer,20589,66,October,2023
East,Speaker,14376,69,November,2024
Northwest,Headphones,8692,56,February,2022
West,Keyboard,2214,19,January,2023
North,Monitor,25502,99,December,2024
East,Tablet,3710,10,March,2022
Midwest,Mouse,3189,86,June,2023
Southeast,Headphones,8413,53,July,2022
Central,Tablet,18941,63,December,2022
North,Monitor,11096,43,October,2022
Southeast,Keyboard,7955,95,July,2022
Southwest,Mouse,1693,56,March,2024
Northwest,Webcam,2265,17,June,2022
Central,Mouse,3424,96,March,2024
Northeast,Tablet,3591,11,January,2024
South,Keyboard,1368,11,September,2023
Central,Phone,31251,62,June,2024
North,Mouse,3600,93,May,2022
Central,Headphones,16391,104,July,2023
Midwest,Laptop,84075,104,November,2022
Southwest,Laptop,63905,79,March,2022
North,Mouse,1131,25,February,2022
Northeast,Mouse,2325,61,March,2023
Northeast,Headphones,9036,58,March,2023
Midwest,Laptop,65827,82,April,2023
Southeast,Mouse,3733,101,July,2024
Southwest,Monitor,9918,39,July,2024
Central,Headphones,2665,16,November,2023
Southeast,Mouse,3035,68,October,2022
West,Tablet,10153,32,June,2023
Northeast,Headphones,3178,19,April,2022
Central,Monitor,20170,79,March,2024
West,Tablet,25477,82,November,2024
Southwest,Webcam,8814,93,April,2022
Central,Webcam,7243,73,May,2024
South,Webcam,7332,81,November,2024
Central,Speaker,13139,63,October,2022
Southeast,Headphones,13497,88,January,2022
West,Webcam,2138,23,July,2023
Southwest,Phone,27937,55,January,2023
Central,Webcam,3347,36,August,2022
Northeast,Printer,16392,52,July,2023
North,Headphones,6013,37,January,2023
Northwest,Headphones,2315,15,August,2023
South,Phone,42841,84,June,2024
Southwest,Keyboard,5084,55,July,2023
East,Webcam,5397,49,May,2023
Central,Laptop,10895,13,November,2022
South,Monitor,15365,59,January,2022
North,Phone,47652,94,April,2023
South,Laptop,79578,99,February,2024
Southeast,Webcam,2626,27,October,2023
West,Tablet,3601,10,April,2022
Southwest,Webcam,4932,49,July,2024
Southeast,Webcam,2983,31,July,2023
Midwest,Monitor,24260,94,February,2023
Northwest,Printer,11103,37,October,2022
Midwest,Laptop,11817,14,March,2022
Southwest,Tablet,9244,28,November,2023
Southwest,Speaker,7840,38,April,2022
Northeast,Webcam,2905,28,November,2024
West,Webcam,2132,21,September,2024
Northeast,Webcam,5196,54,July,2023
Southeast,Tablet,5290,15,February,2023
Central,Tablet,32179,107,August,2024
Central,Keyboard,3637,35,April,2024
Southeast,Printer,30677,101,January,2022
Central,Webcam,8847,95,October,2023
West,Printer,7140,22,April,2023
Midwest,Laptop,25636,32,November,2023
South,Phone,40622,81,October,2022
East,Speaker,14659,72,September,2023
South,Headphones,9125,57,May,2023
Southwest,Speaker,22162,107,October,2023
Southwest,Speaker,17278,82,April,2024
Northeast,Mouse,3098,83,November,2022
Southwest,Monitor,9974,37,July,2022
West,Mouse,1496,37,October,2023
Southwest,Webcam,7110,75,September,2024
Northwest,Webcam,4709,42,August,2023
North,Headphones,7371,43,June,2022
Northwest,Webcam,2544,25,July,2023
Midwest,Speaker,5615,26,July,2023
Southeast,Phone,43902,87,November,2024
Central,Headphones,2319,15,June,2023
Midwest,Tablet,8257,26,April,2023
East,Monitor,24955,98,January,2022
South,Laptop,55313,68,January,2023
East,Phone,18800,37,July,2024
South,Keyboard,4280,51,February,2022
West,Phone,15886,30,July,2022
Midwest,Laptop,34415,42,December,2024
Northwest,Printer,28722,93,February,2022
South,Monitor,26210,104,November,2024
Southeast,Webcam,2046,14,October,2024
Northwest,Mouse,2812,61,September,2024
Southwest,Webcam,9045,94,April,2024
Northwest,Phone,20668,41,May,2022
Northwest,Keyboard,5923,69,December,2023
North,Printer,26349,86,November,2022
Southwest,Headphones,14342,95,March,2022
North,Monitor,5559,20,August,2024
Central,Phone,48714,96,January,2024
West,Printer,8673,26,March,2022
Northwest,Speaker,7274,36,December,2023
Northwest,Printer,15949,53,November,2023
West,Phone,22644,44,April,2023
Southwest,Keyboard,3627,35,February,2023
Midwest,Laptop,54500,68,September,2023
South,Keyboard,4847,52,June,2022
Northwest,Printer,4305,12,October,2023
East,Printer,15192,48,November,2022
Southeast,Tablet,23196,77,February,2024
North,Keyboard,2606,26,June,2022
East,Monitor,5183,20,April,2023
North,Laptop,10340,12,August,2023
East,Speaker,16629,80,June,2023
Southeast,Monitor,15876,62,May,2024
West,Keyboard,7284,79,December,2022
North,Phone,9265,17,May,2022
Northeast,Webcam,2702,21,May,2024
North,Laptop,11521,14,December,2024
Midwest,Monitor,4348,16,February,2022
Southeast,Monitor,5259,19,October,2023
Southeast,Phone,52355,103,December,2022
North,Keyboard,6982,77,April,2023
Central,Tablet,4292,12,February,2023
West,Phone,5837,11,May,2023
Southeast,Laptop,59217,73,January,2024
North,Printer,28337,92,August,2024
Central,Headphones,2033,13,July,2023
Northeast,Phone,53303,106,April,2023
Southwest,Laptop,17900,22,December,2022
Central,Printer,16189,53,May,2023
North,Speaker,10583,51,December,2023
Southeast,Webcam,4082,35,July,2023
Southwest,Speaker,3760,14,March,2024
West,Tablet,19165,63,August,2022
Northwest,Speaker,16364,79,January,2023
Southeast,Mouse,3398,93,January,2022
Midwest,Speaker,13041,63,December,2023
North,Mouse,1235,34,May,2024
Southwest,Mouse,722,17,September,2023
Central,Monitor,17821,70,September,2022
Southeast,Printer,20277,65,December,2023
Midwest,Mouse,1188,38,December,2023
Midwest,Mouse,1915,54,January,2024
Central,Tablet,26990,87,March,2023
South,Laptop,45064,56,July,2022
Southeast,Monitor,13408,51,December,2023
Northeast,Phone,30888,60,September,2022
Northwest,Printer,8974,27,October,2022
Northeast,Phone,19082,37,October,2024
Southwest,Mouse,3543,93,March,2024
Northeast,Monitor,25001,99,December,2024
Midwest,Headphones,15938,104,June,2022
North,Speaker,20777,100,April,2023
North,Speaker,14926,73,July,2023
North,Printer,9516,31,December,2023
South,Headphones,6625,40,May,2023
North,Monitor,13725,53,November,2022
East,Tablet,19878,66,April,2024
Northwest,Printer,32936,107,September,2022
West,Tablet,22901,76,February,2023
Northwest,Webcam,4162,37,April,2022
East,Tablet,3840,12,July,2023
East,Speaker,17424,84,July,2024
Southwest,Mouse,1512,44,August,2022
South,Phone,23139,45,January,2023
Southeast,Speaker,4380,21,October,2022
South,Laptop,58509,73,November,2023
West,Monitor,5209,18,May,2024
South,Mouse,2807,68,November,2022
Northwest,Webcam,5260,51,November,2024
Central,Speaker,6886,31,March,2023
South,Speaker,9519,43,August,2024
Southeast,Webcam,2695,23,April,2022
Midwest,Phone,20913,40,January,2024
North,Phone,28040,55,October,2022
Midwest,Headphones,3512,17,December,2022
Midwest,Monitor,5162,19,August,2022
Southeast,Keyboard,8647,96,April,2024
North,Printer,22237,71,April,2024
West,Phone,53172,105,August,2024
East,Printer,21321,70,May,2024
Northeast,Mouse,1574,31,October,2023
Midwest,Webcam,9701,97,February,2023
North,Mouse,2252,67,August,2023
Northeast,Phone,35079,69,January,2022
Midwest,Headphones,8397,52,April,2023
Northeast,Laptop,57695,71,February,2024
East,Webcam,4983,51,October,2022
West,Tablet,5634,17,August,2023
Central,Tablet,25876,85,January,2024
West,Speaker,19890,99,January,2023
East,Printer,31815,106,October,2023
Southeast,Phone,49496,97,December,2023
North,Headphones,2645,14,January,2024
Northwest,Printer,21882,71,May,2022
Midwest,Keyboard,6674,82,May,2022
South,Mouse,1750,30,March,2022
Southeast,Keyboard,2203,24,December,2024
Northwest,Headphones,12729,82,September,2022
Midwest,Headphones,5158,31,March,2024
Northwest,Headphones,6770,43,March,2023
North,Monitor,21662,85,August,2024
Central,Speaker,18552,88,November,2024
North,Monitor,20620,80,June,2022
North,Mouse,2469,62,May,2022
East,Headphones,6850,41,April,2024
Central,Mouse,3159,87,November,2024
North,Monitor,3530,13,April,2024
East,Phone,19102,38,January,2023
Central,Laptop,36953,46,July,2024
Southwest,Monitor,24861,98,March,2024
South,Mouse,3600,90,December,2023
Midwest,Mouse,1100,21,May,2023
Southwest,Headphones,9087,60,August,2022
Midwest,Printer,31882,106,January,2023
South,Mouse,3233,102,August,2024
Northwest,Speaker,2182,10,March,2024
Southwest,Mouse,1173,25,February,2023
South,Speaker,18538,88,October,2022
North,Tablet,18897,60,December,2024
Southwest,Printer,21053,68,November,2024
Southeast,Laptop,35250,43,July,2024
Southwest,Laptop,56738,70,April,2023
Midwest,Tablet,10281,32,May,2023
West,Phone,28533,56,February,2023
East,Laptop,11915,14,March,2023
Southwest,Laptop,86503,107,September,2022
Midwest,Tablet,6765,21,February,2023
Southeast,Phone,10557,20,May,2023
East,Laptop,32305,40,March,2024
Northwest,Laptop,54695,68,May,2023
Midwest,Phone,22867,45,August,2022
Northwest,Monitor,18775,74,October,2024
North,Keyboard,4364,46,December,2022
West,Keyboard,3802,43,August,2022
East,Mouse,1706,35,May,2023
Central,Phone,23281,45,October,2024
East,Tablet,29921,97,October,2022
South,Tablet,10832,33,February,2023
Southwest,Tablet,10110,33,August,2023
Southwest,Printer,18005,58,July,2022
Southeast,Speaker,14100,66,June,2024
Midwest,Tablet,29183,96,October,2022
North,Keyboard,6331,76,November,2023
Northeast,Monitor,27363,109,May,2022
Northeast,Keyboard,2576,23,April,2023
Northeast,Monitor,26877,107,April,2022
Northwest,Webcam,10236,103,June,2024
Southwest,Headphones,7721,48,July,2022
East,Tablet,22481,74,July,2023
Southwest,Headphones,10648,66,February,2022
Northeast,Phone,21423,42,January,2024
Northwest,Speaker,21777,107,November,2023
Southeast,Headphones,15999,105,May,2022
West,Monitor,4586,16,November,2022
Northwest,Webcam,2221,21,June,2023
Midwest,Monitor,22925,91,February,2022
Northeast,Mouse,671,15,April,2023
Northwest,Speaker,11471,54,February,2023
Northeast,Mouse,2808,84,May,2024
Midwest,Speaker,10718,49,April,2022
Southeast,Speaker,15491,75,September,2024
Midwest,Mouse,1936,47,February,2024
Southwest,Keyboard,7419,92,May,2024
North,Laptop,54574,68,November,2023
Northeast,Laptop,79921,99,October,2024
Northwest,Laptop,18234,22,August,2023
Northeast,Tablet,7886,26,January,2023
Northeast,Printer,25728,84,September,2022
West,Headphones,15924,105,November,2023
Northwest,Webcam,5312,54,April,2023
Southwest,Laptop,46781,58,March,2023
Northeast,Mouse,1490,42,November,2024
